,GDP (Billions USD),Unemployment Rate (%),Producer Price Index (PPI),Retail Sales (Millions USD),Industrial Production Index,Housing Starts (Thousands),Personal Consumption Expenditures (PCE),Trade Balance (Billions USD),M2 Money Supply (Billions USD),Consumer Confidence Index
1987-05-11,,,,,,,,,2763.0,
1987-05-18,,,,,,,,,2764.6,
1987-05-25,,,,,,,,,2770.0,
1987-06-01,,6.2,103.0,,57.8502,1594.0,3072.8,,2773.2,91.5
1987-06-08,,,,,,,,,2769.8,
1987-06-15,,,,,,,,,2771.0,
1987-06-22,,,,,,,,,2773.0,
1987-06-29,,,,,,,,,2772.8,
1987-07-01,4884.555,6.1,103.5,,58.2421,1575.0,3094.7,,,93.7
1987-07-06,,,,,,,,,2778.8,
1987-07-13,,,,,,,,,2773.3,
1987-07-20,,,,,,,,,2777.5,
1987-07-27,,,,,,,,,2781.1,
1987-08-01,,6.0,103.8,,58.6784,1605.0,3130.8,,,94.4
1987-08-03,,,,,,,,,2779.1,
1987-08-10,,,,,,,,,2782.8,
1987-08-17,,,,,,,,,2783.8,
1987-08-24,,,,,,,,,2785.2,
1987-08-31,,,,,,,,,2785.1,
1987-09-01,,5.9,103.7,,58.9088,1695.0,3126.5,,,93.6
1987-09-07,,,,,,,,,2784.5,
1987-09-14,,,,,,,,,2790.6,
1987-09-21,,,,,,,,,2795.0,
1987-09-28,,,,,,,,,2797.4,
1987-10-01,5007.994,6.0,104.1,,59.7008,1515.0,3134.5,,,89.3
1987-10-05,,,,,,,,,2804.3,
1987-10-12,,,,,,,,,2800.8,
1987-10-19,,,,,,,,,2809.3,
1987-10-26,,,,,,,,,2827.2,
1987-11-01,,5.8,104.2,,59.9956,1656.0,3144.2,,,83.1
1987-11-02,,,,,,,,,2819.3,
1987-11-09,,,,,,,,,2815.9,
1987-11-16,,,,,,,,,2816.2,
1987-11-23,,,,,,,,,2817.1,
1987-11-30,,,,,,,,,2817.8,
1987-12-01,,5.7,104.2,,60.3246,1400.0,3174.1,,,86.8
1987-12-07,,,,,,,,,2820.8,
1987-12-14,,,,,,,,,2823.5,
1987-12-21,,,,,,,,,2826.4,
1987-12-28,,,,,,,,,2828.6,
1988-01-01,5073.372,5.7,104.6,,60.309,1271.0,3213.7,,,90.8
1988-01-04,,,,,,,,,2830.0,
1988-01-11,,,,,,,,,2836.0,
1988-01-18,,,,,,,,,2846.9,
1988-01-25,,,,,,,,,2854.8,
1988-02-01,,5.7,104.8,,60.6122,1473.0,3221.4,,2863.2,91.6
1988-02-08,,,,,,,,,2862.3,
1988-02-15,,,,,,,,,2867.9,
1988-02-22,,,,,,,,,2875.0,
1988-02-29,,,,,,,,,2875.3,
1988-03-01,,5.7,104.9,,60.7452,1532.0,3260.5,,,94.6
1988-03-07,,,,,,,,,2882.4,
1988-03-14,,,,,,,,,2889.4,
1988-03-21,,,,,,,,,2897.4,
1988-03-28,,,,,,,,,2901.5,
1988-04-01,5190.036,5.4,105.8,,61.108,1573.0,3263.0,,,91.2
1988-04-04,,,,,,,,,2905.1,
1988-04-11,,,,,,,,,2909.4,
1988-04-18,,,,,,,,,2912.1,
1988-04-25,,,,,,,,,2920.0,
1988-05-01,,5.6,106.5,,60.9843,1421.0,3293.6,,,94.8
1988-05-02,,,,,,,,,2917.4,
1988-05-09,,,,,,,,,2918.3,
1988-05-16,,,,,,,,,2922.7,
1988-05-23,,,,,,,,,2927.0,
1988-05-30,,,,,,,,,2929.5,
1988-06-01,,5.4,107.2,,61.1615,1478.0,3318.5,,,94.7
1988-06-06,,,,,,,,,2935.2,
1988-06-13,,,,,,,,,2937.5,
1988-06-20,,,,,,,,,2944.8,
1988-06-27,,,,,,,,,2949.1,
1988-07-01,5282.835,5.4,107.9,,61.171,1467.0,3342.7,,,93.4
1988-07-04,,,,,,,,,2947.5,
1988-07-11,,,,,,,,,2950.1,
1988-07-18,,,,,,,,,2952.3,
1988-07-25,,,,,,,,,2955.4,
1988-08-01,,5.6,108.0,,61.4771,1493.0,3368.0,,2958.6,97.4
1988-08-08,,,,,,,,,2956.2,
1988-08-15,,,,,,,,,2958.4,
1988-08-22,,,,,,,,,2959.7,
1988-08-29,,,,,,,,,2960.2,
1988-09-01,,5.4,108.1,,61.2785,1492.0,3375.0,,,97.3
1988-09-05,,,,,,,,,2959.5,
1988-09-12,,,,,,,,,2958.7,
1988-09-19,,,,,,,,,2962.5,
1988-09-26,,,,,,,,,2964.6,
1988-10-01,5399.509,5.4,108.2,,61.5488,1522.0,3413.7,,,94.1
1988-10-03,,,,,,,,,2961.9,
1988-10-10,,,,,,,,,2964.6,
1988-10-17,,,,,,,,,2969.4,
1988-10-24,,,,,,,,,2969.1,
1988-10-31,,,,,,,,,2972.3,
1988-11-01,,5.3,108.3,,61.7049,1569.0,3430.2,,,93.0
1988-11-07,,,,,,,,,2978.9,
1988-11-14,,,,,,,,,2982.1,
1988-11-21,,,,,,,,,2985.3,
1988-11-28,,,,,,,,,2988.4,
1988-12-01,,5.3,109.0,,61.9851,1563.0,3459.7,,,91.9
1988-12-05,,,,,,,,,2987.0,
1988-12-12,,,,,,,,,2989.0,
1988-12-19,,,,,,,,,2989.2,
1988-12-26,,,,,,,,,2989.5,
1989-01-01,5511.253,5.4,110.5,,62.1677,1621.0,3483.7,,,97.9
1989-01-02,,,,,,,,,2994.1,
1989-01-09,,,,,,,,,2993.8,
1989-01-16,,,,,,,,,2994.7,
1989-01-23,,,,,,,,,2994.6,
1989-01-30,,,,,,,,,2989.3,
1989-02-01,,5.2,110.8,,61.8916,1425.0,3488.0,,,95.4
1989-02-06,,,,,,,,,2987.5,
1989-02-13,,,,,,,,,2985.3,
1989-02-20,,,,,,,,,2987.1,
1989-02-27,,,,,,,,,2988.7,
1989-03-01,,5.0,111.5,,62.0508,1422.0,3498.8,,,94.3
1989-03-06,,,,,,,,,2997.3,
1989-03-13,,,,,,,,,2995.8,
1989-03-20,,,,,,,,,2999.5,
1989-03-27,,,,,,,,,3002.7,
1989-04-01,5612.463,5.2,112.3,,62.0289,1339.0,3543.0,,,91.5
1989-04-03,,,,,,,,,3000.6,
1989-04-10,,,,,,,,,3001.5,
1989-04-17,,,,,,,,,3004.0,
1989-04-24,,,,,,,,,3008.9,
1989-05-01,,5.2,113.2,,61.6871,1331.0,3551.8,,3009.1,90.7
1989-05-08,,,,,,,,,3001.9,
1989-05-15,,,,,,,,,3004.2,
1989-05-22,,,,,,,,,3005.7,
1989-05-29,,,,,,,,,3009.7,
1989-06-01,,5.3,112.9,,61.6857,1397.0,3566.6,,,90.6
1989-06-05,,,,,,,,,3015.1,
1989-06-12,,,,,,,,,3018.8,
1989-06-19,,,,,,,,,3023.9,
1989-06-26,,,,,,,,,3030.6,
1989-07-01,5695.365,5.2,112.8,,61.0896,1427.0,3585.7,,,92.0
1989-07-03,,,,,,,,,3036.9,
1989-07-10,,,,,,,,,3048.0,
1989-07-17,,,,,,,,,3050.5,
1989-07-24,,,,,,,,,3053.8,
1989-07-31,,,,,,,,,3056.7,
1989-08-01,,5.2,112.0,,61.6847,1332.0,3620.6,,,89.6
1989-08-07,,,,,,,,,3064.4,
1989-08-14,,,,,,,,,3068.3,
1989-08-21,,,,,,,,,3072.6,
1989-08-28,,,,,,,,,3075.3,
1989-09-01,,5.3,112.4,,61.4794,1279.0,3621.9,,,95.8
1989-09-04,,,,,,,,,3076.1,
1989-09-11,,,,,,,,,3082.6,
1989-09-18,,,,,,,,,3086.4,
1989-09-25,,,,,,,,,3090.8,
1989-10-01,5747.237,5.3,112.8,,61.4014,1410.0,3633.6,,,93.9
1989-10-02,,,,,,,,,3098.9,
1989-10-09,,,,,,,,,3105.3,
1989-10-16,,,,,,,,,3111.5,
1989-10-23,,,,,,,,,3116.6,
1989-10-30,,,,,,,,,3118.6,
1989-11-01,,5.4,112.7,,61.6081,1351.0,3643.3,,,90.9
1989-11-06,,,,,,,,,3126.5,
1989-11-13,,,,,,,,,3129.5,
1989-11-20,,,,,,,,,3132.5,
1989-11-27,,,,,,,,,3138.9,
1989-12-01,,5.4,113.0,,61.9588,1251.0,3684.2,,,90.5
1989-12-04,,,,,,,,,3142.2,
1989-12-11,,,,,,,,,3146.2,
1989-12-18,,,,,,,,,3150.2,
1989-12-25,,,,,,,,,3157.3,
1990-01-01,5872.701,5.4,114.9,,61.6352,1551.0,3730.7,,3161.1,93.0
1990-01-08,,,,,,,,,3164.1,
1990-01-15,,,,,,,,,3164.4,
1990-01-22,,,,,,,,,3166.4,
1990-01-29,,,,,,,,,3167.6,
1990-02-01,,5.3,114.4,,62.1951,1437.0,3728.2,,,89.5
1990-02-05,,,,,,,,,3175.4,
1990-02-12,,,,,,,,,3177.1,
1990-02-19,,,,,,,,,3179.9,
1990-02-26,,,,,,,,,3185.2,
1990-03-01,,5.2,114.2,,62.4916,1289.0,3754.9,,,91.3
1990-03-05,,,,,,,,,3186.6,
1990-03-12,,,,,,,,,3187.4,
1990-03-19,,,,,,,,,3188.7,
1990-03-26,,,,,,,,,3194.2,
1990-04-01,5960.028,5.4,114.1,,62.3511,1248.0,3770.0,,,93.9
1990-04-02,,,,,,,,,3196.5,
1990-04-09,,,,,,,,,3197.9,
1990-04-16,,,,,,,,,3200.6,
1990-04-23,,,,,,,,,3202.9,
1990-04-30,,,,,,,,,3205.9,
1990-05-01,,5.4,114.6,,62.5353,1212.0,3775.8,,,90.6
1990-05-07,,,,,,,,,3199.1,
1990-05-14,,,,,,,,,3199.9,
1990-05-21,,,,,,,,,3201.5,
1990-05-28,,,,,,,,,3201.1,
1990-06-01,,5.2,114.3,,62.7479,1177.0,3804.5,,,88.3
1990-06-04,,,,,,,,,3205.9,
1990-06-11,,,,,,,,,3208.7,
1990-06-18,,,,,,,,,3213.7,
1990-06-25,,,,,,,,,3217.1,
1990-07-01,6015.116,5.5,114.5,,62.6435,1171.0,3821.7,,,88.2
1990-07-02,,,,,,,,,3223.8,
1990-07-09,,,,,,,,,3219.3,
1990-07-16,,,,,,,,,3225.1,
1990-07-23,,,,,,,,,3224.8,
1990-07-30,,,,,,,,,3228.2,
1990-08-01,,5.7,116.5,,62.8704,1115.0,3848.3,,,76.4
1990-08-06,,,,,,,,,3231.3,
1990-08-13,,,,,,,,,3240.3,
1990-08-20,,,,,,,,,3244.6,
1990-08-27,,,,,,,,,3246.6,
1990-09-01,,5.9,118.4,,62.8839,1110.0,3870.1,,,72.8
1990-09-03,,,,,,,,,3250.7,
1990-09-10,,,,,,,,,3252.7,
1990-09-17,,,,,,,,,3252.6,
1990-09-24,,,,,,,,,3254.5,
1990-10-01,6004.733,5.9,120.8,,62.4973,1014.0,3870.6,,3262.4,63.9
1990-10-08,,,,,,,,,3260.4,
1990-10-15,,,,,,,,,3259.4,
1990-10-22,,,,,,,,,3256.8,
1990-10-29,,,,,,,,,3259.8,
1990-11-01,,6.2,120.1,,61.7175,1145.0,3871.9,,,66.0
1990-11-05,,,,,,,,,3259.6,
1990-11-12,,,,,,,,,3261.4,
1990-11-19,,,,,,,,,3263.8,
1990-11-26,,,,,,,,,3267.2,
1990-12-01,,6.3,118.7,,61.2885,969.0,3861.3,,,65.5
1990-12-03,,,,,,,,,3257.5,
1990-12-10,,,,,,,,,3266.1,
1990-12-17,,,,,,,,,3270.7,
1990-12-24,,,,,,,,,3276.1,
1990-12-31,,,,,,,,,3280.6,
1991-01-01,6035.178,6.4,119.0,,61.0842,798.0,3841.0,,,66.8
1991-01-07,,,,,,,,,3280.1,
1991-01-14,,,,,,,,,3282.6,
1991-01-21,,,,,,,,,3289.1,
1991-01-28,,,,,,,,,3294.4,
1991-02-01,,6.6,117.2,,60.6387,965.0,3866.7,,,70.4
1991-02-04,,,,,,,,,3298.8,
1991-02-11,,,,,,,,,3303.7,
1991-02-18,,,,,,,,,3303.0,
1991-02-25,,,,,,,,,3306.7,
1991-03-01,,6.8,116.2,,60.2973,921.0,3913.0,,,87.7
1991-03-04,,,,,,,,,3312.2,
1991-03-11,,,,,,,,,3316.1,
1991-03-18,,,,,,,,,3319.3,
1991-03-25,,,,,,,,,3327.1,
1991-04-01,6126.862,6.7,116.0,,60.4524,1001.0,3907.1,,3332.1,81.8
1991-04-08,,,,,,,,,3330.7,
1991-04-15,,,,,,,,,3334.6,
1991-04-22,,,,,,,,,3331.9,
1991-04-29,,,,,,,,,3331.7,
1991-05-01,,6.9,116.5,,61.0587,996.0,3933.2,,,78.3
1991-05-06,,,,,,,,,3337.6,
1991-05-13,,,,,,,,,3342.9,
1991-05-20,,,,,,,,,3345.7,
1991-05-27,,,,,,,,,3345.6,
1991-06-01,,6.9,116.4,,61.5514,1036.0,3940.5,,,82.1
1991-06-03,,,,,,,,,3342.1,
1991-06-10,,,,,,,,,3351.0,
1991-06-17,,,,,,,,,3351.8,
1991-06-24,,,,,,,,,3351.1,
1991-07-01,6205.937,6.8,116.1,,61.7201,1063.0,3966.0,,3359.1,82.9
1991-07-08,,,,,,,,,3355.2,
1991-07-15,,,,,,,,,3357.0,
1991-07-22,,,,,,,,,3356.8,
1991-07-29,,,,,,,,,3355.4,
1991-08-01,,6.9,116.2,,61.7289,1049.0,3969.1,,,82.0
1991-08-05,,,,,,,,,3354.5,
1991-08-12,,,,,,,,,3354.6,
1991-08-19,,,,,,,,,3353.4,
1991-08-26,,,,,,,,,3358.5,
1991-09-01,,6.9,116.1,,62.2369,1015.0,3984.7,,,83.0
1991-09-02,,,,,,,,,3353.5,
1991-09-09,,,,,,,,,3356.5,
1991-09-16,,,,,,,,,3355.4,
1991-09-23,,,,,,,,,3354.5,
1991-09-30,,,,,,,,,3353.8,
1991-10-01,6264.54,7.0,116.4,,62.1718,1079.0,3976.0,,,78.3
1991-10-07,,,,,,,,,3356.8,
1991-10-14,,,,,,,,,3358.1,
1991-10-21,,,,,,,,,3362.4,
1991-10-28,,,,,,,,,3363.2,
1991-11-01,,7.0,116.4,,62.0894,1103.0,4003.6,,,69.1
1991-11-04,,,,,,,,,3360.3,
1991-11-11,,,,,,,,,3365.2,
1991-11-18,,,,,,,,,3365.0,
1991-11-25,,,,,,,,,3366.5,
1991-12-01,,7.3,115.9,,61.806,1079.0,4020.5,,,68.2
1991-12-02,,,,,,,,,3369.4,
1991-12-09,,,,,,,,,3372.4,
1991-12-16,,,,,,,,,3379.5,
1991-12-23,,,,,,,,,3371.1,
1991-12-30,,,,,,,,,3367.7,
1992-01-01,6363.102,7.3,115.6,164095.0,61.4823,1176.0,4084.7,-2026.0,,67.5
1992-01-06,,,,,,,,,3365.7,
1992-01-13,,,,,,,,,3374.9,
1992-01-20,,,,,,,,,3381.7,
1992-01-27,,,,,,,,,3393.5,
1992-02-01,,7.4,116.0,164213.0,61.9192,1250.0,4099.5,-831.0,,68.8
1992-02-03,,,,,,,,,3392.9,
1992-02-10,,,,,,,,,3398.9,
1992-02-17,,,,,,,,,3400.8,
1992-02-24,,,,,,,,,3402.5,
1992-03-01,,7.4,116.1,163721.0,62.4403,1297.0,4117.0,-2641.0,,76.0
1992-03-02,,,,,,,,,3401.1,
1992-03-09,,,,,,,,,3404.6,
1992-03-16,,,,,,,,,3407.2,
1992-03-23,,,,,,,,,3404.0,
1992-03-30,,,,,,,,,3401.1,
1992-04-01,6470.763,7.4,116.3,164709.0,62.9199,1099.0,4131.5,-3109.0,,77.2
1992-04-06,,,,,,,,,3400.2,
1992-04-13,,,,,,,,,3401.6,
1992-04-20,,,,,,,,,3397.8,
1992-04-27,,,,,,,,,3399.4,
1992-05-01,,7.6,117.2,165612.0,63.1268,1214.0,4158.4,-3919.0,,79.2
1992-05-04,,,,,,,,,3399.3,
1992-05-11,,,,,,,,,3401.0,
1992-05-18,,,,,,,,,3398.3,
1992-05-25,,,,,,,,,3397.0,
1992-06-01,,7.8,118.0,166077.0,63.1624,1145.0,4177.1,-2824.0,3397.5,80.4
1992-06-08,,,,,,,,,3393.7,
1992-06-15,,,,,,,,,3396.5,
1992-06-22,,,,,,,,,3394.3,
1992-06-29,,,,,,,,,3389.1,
1992-07-01,6566.641,7.7,117.9,167257.0,63.7348,1139.0,4204.8,-2781.0,,76.6
1992-07-06,,,,,,,,,3390.9,
1992-07-13,,,,,,,,,3393.6,
1992-07-20,,,,,,,,,3395.0,
1992-07-27,,,,,,,,,3396.5,
1992-08-01,,7.6,117.7,167800.0,63.3802,1226.0,4220.9,-4455.0,,76.1
1992-08-03,,,,,,,,,3392.2,
1992-08-10,,,,,,,,,3396.8,
1992-08-17,,,,,,,,,3397.1,
1992-08-24,,,,,,,,,3398.7,
1992-08-31,,,,,,,,,3405.3,
1992-09-01,,7.6,118.0,169400.0,63.5834,1186.0,4255.3,-3530.0,,75.6
1992-09-07,,,,,,,,,3403.1,
1992-09-14,,,,,,,,,3408.7,
1992-09-21,,,,,,,,,3412.4,
1992-09-28,,,,,,,,,3416.3,
1992-10-01,6680.803,7.3,118.1,170625.0,64.0178,1244.0,4284.7,-3520.0,,73.3
1992-10-05,,,,,,,,,3413.6,
1992-10-12,,,,,,,,,3423.0,
1992-10-19,,,,,,,,,3421.5,
1992-10-26,,,,,,,,,3429.2,
1992-11-01,,7.4,117.8,171003.0,64.2628,1214.0,4300.5,-3968.0,,85.3
1992-11-02,,,,,,,,,3430.9,
1992-11-09,,,,,,,,,3430.5,
1992-11-16,,,,,,,,,3428.3,
1992-11-23,,,,,,,,,3421.5,
1992-11-30,,,,,,,,,3424.3,
1992-12-01,,7.4,117.6,173105.0,64.3599,1227.0,4336.4,-5603.0,,91.0
1992-12-07,,,,,,,,,3427.7,
1992-12-14,,,,,,,,,3428.4,
1992-12-21,,,,,,,,,3421.6,
1992-12-28,,,,,,,,,3423.1,
1993-01-01,6729.459,7.3,118.0,175108.0,64.6135,1210.0,4340.7,-3871.0,,89.3
1993-01-04,,,,,,,,,3418.7,
1993-01-11,,,,,,,,,3422.2,
1993-01-18,,,,,,,,,3416.8,
1993-01-25,,,,,,,,,3415.5,
1993-02-01,,7.1,118.4,173744.0,64.9262,1210.0,4355.3,-3596.0,3414.9,86.6
1993-02-08,,,,,,,,,3410.1,
1993-02-15,,,,,,,,,3414.6,
1993-02-22,,,,,,,,,3415.7,
1993-03-01,,7.0,118.7,172306.0,64.8627,1083.0,4352.5,-6777.0,3414.7,85.9
1993-03-08,,,,,,,,,3411.5,
1993-03-15,,,,,,,,,3411.1,
1993-03-22,,,,,,,,,3409.6,
1993-03-29,,,,,,,,,3409.7,
1993-04-01,6808.939,7.1,119.3,176749.0,65.0423,1258.0,4393.4,-6445.0,,85.6
1993-04-05,,,,,,,,,3409.1,
1993-04-12,,,,,,,,,3410.1,
1993-04-19,,,,,,,,,3405.1,
1993-04-26,,,,,,,,,3411.1,
1993-05-01,,7.1,119.7,178426.0,64.8006,1260.0,4422.4,-4369.0,,80.3
1993-05-03,,,,,,,,,3425.5,
1993-05-10,,,,,,,,,3437.4,
1993-05-17,,,,,,,,,3437.2,
1993-05-24,,,,,,,,,3434.3,
1993-05-31,,,,,,,,,3445.5,
1993-06-01,,7.0,119.5,178157.0,64.9476,1280.0,4440.0,-6929.0,,81.5
1993-06-07,,,,,,,,,3444.6,
1993-06-14,,,,,,,,,3446.2,
1993-06-21,,,,,,,,,3442.2,
1993-06-28,,,,,,,,,3438.2,
1993-07-01,6882.098,6.9,119.2,180743.0,65.1142,1254.0,4468.9,-6382.0,,77.0
1993-07-05,,,,,,,,,3436.1,
1993-07-12,,,,,,,,,3443.7,
1993-07-19,,,,,,,,,3443.2,
1993-07-26,,,,,,,,,3442.3,
1993-08-01,,6.8,118.7,180707.0,65.0421,1300.0,4481.1,-5581.0,,77.3
1993-08-02,,,,,,,,,3443.6,
1993-08-09,,,,,,,,,3446.8,
1993-08-16,,,,,,,,,3447.5,
1993-08-23,,,,,,,,,3443.9,
1993-08-30,,,,,,,,,3444.7,
1993-09-01,,6.7,118.7,181773.0,65.3749,1343.0,4511.5,-7031.0,,77.9
1993-09-06,,,,,,,,,3447.6,
1993-09-13,,,,,,,,,3453.1,
1993-09-20,,,,,,,,,3453.7,
1993-09-27,,,,,,,,,3453.4,
1993-10-01,7013.738,6.8,119.1,182884.0,65.863,1392.0,4532.8,-6594.0,,82.7
1993-10-04,,,,,,,,,3453.3,
1993-10-11,,,,,,,,,3457.8,
1993-10-18,,,,,,,,,3453.6,
1993-10-25,,,,,,,,,3453.7,
1993-11-01,,6.6,119.0,184747.0,66.1696,1376.0,4554.1,-7016.0,3464.7,81.2
1993-11-08,,,,,,,,,3466.7,
1993-11-15,,,,,,,,,3473.2,
1993-11-22,,,,,,,,,3470.8,
1993-11-29,,,,,,,,,3469.6,
1993-12-01,,6.5,118.6,186399.0,66.5531,1533.0,4571.1,-5719.0,,88.2
1993-12-06,,,,,,,,,3476.2,
1993-12-13,,,,,,,,,3477.8,
1993-12-20,,,,,,,,,3473.6,
1993-12-27,,,,,,,,,3474.6,
1994-01-01,7115.652,6.6,119.1,185142.0,66.7591,1272.0,4585.1,-6207.0,,94.3
1994-01-03,,,,,,,,,3467.3,
1994-01-10,,,,,,,,,3473.8,
1994-01-17,,,,,,,,,3478.1,
1994-01-24,,,,,,,,,3477.1,
1994-01-31,,,,,,,,,3473.9,
1994-02-01,,6.6,119.3,188074.0,66.8019,1337.0,4632.6,-9245.0,,93.2
1994-02-07,,,,,,,,,3474.6,
1994-02-14,,,,,,,,,3478.7,
1994-02-21,,,,,,,,,3475.4,
1994-02-28,,,,,,,,,3474.2,
1994-03-01,,6.5,119.7,191579.0,67.4704,1564.0,4646.0,-6466.0,,91.5
1994-03-07,,,,,,,,,3478.0,
1994-03-14,,,,,,,,,3483.5,
1994-03-21,,,,,,,,,3481.9,
1994-03-28,,,,,,,,,3477.5,
1994-04-01,7246.931,6.4,119.7,191639.0,67.8707,1465.0,4671.1,-7887.0,,92.6
1994-04-04,,,,,,,,,3479.4,
1994-04-11,,,,,,,,,3483.3,
1994-04-18,,,,,,,,,3476.1,
1994-04-25,,,,,,,,,3480.1,
1994-05-01,,6.1,119.9,190929.0,68.187,1526.0,4669.5,-7728.0,,92.8
1994-05-02,,,,,,,,,3488.9,
1994-05-09,,,,,,,,,3494.2,
1994-05-16,,,,,,,,,3492.9,
1994-05-23,,,,,,,,,3491.2,
1994-05-30,,,,,,,,,3486.8,
1994-06-01,,6.1,120.5,193130.0,68.645,1409.0,4708.9,-8380.0,,91.2
1994-06-06,,,,,,,,,3481.6,
1994-06-13,,,,,,,,,3480.0,
1994-06-20,,,,,,,,,3476.4,
1994-06-27,,,,,,,,,3480.7,
1994-07-01,7331.075,6.1,120.7,193743.0,68.7317,1439.0,4720.6,-8739.0,,89.0
1994-07-04,,,,,,,,,3478.4,
1994-07-11,,,,,,,,,3487.2,
1994-07-18,,,,,,,,,3489.0,
1994-07-25,,,,,,,,,3490.3,
1994-08-01,,6.0,121.2,196163.0,69.1882,1450.0,4762.6,-8303.0,3492.5,91.7
1994-08-08,,,,,,,,,3484.0,
1994-08-15,,,,,,,,,3485.8,
1994-08-22,,,,,,,,,3487.4,
1994-08-29,,,,,,,,,3485.1,
1994-09-01,,5.9,121.0,197765.0,69.3935,1474.0,4775.0,-8310.0,,91.5
1994-09-05,,,,,,,,,3484.2,
1994-09-12,,,,,,,,,3485.2,
1994-09-19,,,,,,,,,3487.2,
1994-09-26,,,,,,,,,3490.4,
1994-10-01,7455.288,5.8,120.9,199571.0,69.9576,1450.0,4812.9,-9158.0,,92.7
1994-10-03,,,,,,,,,3480.6,
1994-10-10,,,,,,,,,3486.9,
1994-10-17,,,,,,,,,3485.5,
1994-10-24,,,,,,,,,3483.6,
1994-10-31,,,,,,,,,3482.7,
1994-11-01,,5.6,121.5,199731.0,70.4288,1511.0,4825.6,-9615.0,,91.6
1994-11-07,,,,,,,,,3481.6,
1994-11-14,,,,,,,,,3486.0,
1994-11-21,,,,,,,,,3490.8,
1994-11-28,,,,,,,,,3489.9,
1994-12-01,,5.5,121.9,200702.0,71.1273,1455.0,4841.6,-8456.0,,95.1
1994-12-05,,,,,,,,,3490.1,
1994-12-12,,,,,,,,,3488.7,
1994-12-19,,,,,,,,,3485.8,
1994-12-26,,,,,,,,,3486.1,
1995-01-01,7522.289,5.6,122.9,201573.0,71.2635,1407.0,4851.2,-9324.0,,97.6
1995-01-02,,,,,,,,,3480.3,
1995-01-09,,,,,,,,,3489.8,
1995-01-16,,,,,,,,,3493.9,
1995-01-23,,,,,,,,,3495.2,
1995-01-30,,,,,,,,,3494.1,
1995-02-01,,5.4,123.5,198399.0,71.1758,1316.0,4850.8,-8817.0,,95.1
1995-02-06,,,,,,,,,3492.4,
1995-02-13,,,,,,,,,3490.3,
1995-02-20,,,,,,,,,3486.9,
1995-02-27,,,,,,,,,3490.8,
1995-03-01,,5.4,123.9,200247.0,71.2796,1249.0,4885.4,-9708.0,,90.3
1995-03-06,,,,,,,,,3486.6,
1995-03-13,,,,,,,,,3493.1,
1995-03-20,,,,,,,,,3492.3,
1995-03-27,,,,,,,,,3495.1,
1995-04-01,7580.997,5.8,124.6,201032.0,71.1538,1267.0,4890.2,-9609.0,,92.5
1995-04-03,,,,,,,,,3485.1,
1995-04-10,,,,,,,,,3495.7,
1995-04-17,,,,,,,,,3495.6,
1995-04-24,,,,,,,,,3502.5,
1995-05-01,,5.6,124.9,202986.0,71.4997,1314.0,4933.1,-9090.0,3510.7,89.8
1995-05-08,,,,,,,,,3513.5,
1995-05-15,,,,,,,,,3518.8,
1995-05-22,,,,,,,,,3528.9,
1995-05-29,,,,,,,,,3532.9,
1995-06-01,,5.6,125.3,205500.0,71.7327,1281.0,4977.5,-10623.0,,92.7
1995-06-05,,,,,,,,,3541.4,
1995-06-12,,,,,,,,,3549.8,
1995-06-19,,,,,,,,,3547.7,
1995-06-26,,,,,,,,,3552.3,
1995-07-01,7683.125,5.7,125.3,204920.0,71.4334,1461.0,4970.2,-7688.0,,94.4
1995-07-03,,,,,,,,,3552.9,
1995-07-10,,,,,,,,,3562.6,
1995-07-17,,,,,,,,,3565.2,
1995-07-24,,,,,,,,,3570.6,
1995-07-31,,,,,,,,,3577.3,
1995-08-01,,5.7,125.1,206521.0,72.3723,1416.0,5005.3,-6704.0,,96.2
1995-08-07,,,,,,,,,3582.4,
1995-08-14,,,,,,,,,3586.1,
1995-08-21,,,,,,,,,3591.7,
1995-08-28,,,,,,,,,3593.2,
1995-09-01,,5.6,125.2,207006.0,72.6543,1369.0,5020.5,-5924.0,,88.9
1995-09-04,,,,,,,,,3595.4,
1995-09-11,,,,,,,,,3600.8,
1995-09-18,,,,,,,,,3601.1,
1995-09-25,,,,,,,,,3606.1,
1995-10-01,7772.586,5.5,125.3,206176.0,72.5336,1369.0,5013.9,-6114.0,,90.2
1995-10-02,,,,,,,,,3604.9,
1995-10-09,,,,,,,,,3614.5,
1995-10-16,,,,,,,,,3615.0,
1995-10-23,,,,,,,,,3612.8,
1995-10-30,,,,,,,,,3613.0,
1995-11-01,,5.6,125.4,208664.0,72.717,1452.0,5055.6,-6514.0,,88.2
1995-11-06,,,,,,,,,3617.5,
1995-11-13,,,,,,,,,3617.1,
1995-11-20,,,,,,,,,3620.0,
1995-11-27,,,,,,,,,3624.0,
1995-12-01,,5.6,125.7,210399.0,72.9638,1431.0,5097.5,-6271.0,,91.0
1995-12-04,,,,,,,,,3621.0,
1995-12-11,,,,,,,,,3627.9,
1995-12-18,,,,,,,,,3627.0,
1995-12-25,,,,,,,,,3632.2,
1996-01-01,7868.468,5.6,126.3,208699.0,72.5712,1467.0,5085.7,-8465.0,3636.9,89.3
1996-01-08,,,,,,,,,3641.7,
1996-01-15,,,,,,,,,3655.8,
1996-01-22,,,,,,,,,3647.5,
1996-01-29,,,,,,,,,3646.4,
