,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-25,73.03425000192122,73.4176795737371,69.43774534651452,69.91096496582031,230673600,0.0,0.0
2020-02-26,69.53481005262495,72.28921804434103,69.52752997923261,71.02000427246094,198054800,0.0,0.0
2020-02-27,68.21709813440401,69.40622427185191,66.24168665795082,66.3775863647461,320605600,0.0,0.0
2020-02-28,62.431610947009084,67.56427105877654,62.21562305087625,66.33873748779297,426510000,0.0,0.0
2020-03-02,68.50343887480543,73.15317015362184,67.39682304876307,72.51492309570312,341397200,0.0,0.0
2020-03-03,73.69436038432424,73.77444122307429,69.35767895061751,70.2119140625,319475600,0.0,0.0
2020-03-04,71.93979075665263,73.62883516639074,71.1365235531404,73.46866607666016,219178400,0.0,0.0
2020-03-05,71.71650798671432,72.69450423193115,70.7191006767236,71.0855484008789,187572800,0.0,0.0
2020-03-06,68.43546951805709,70.57589981020465,68.2486093773678,70.1415023803711,226176800,0.0,0.0
2020-03-09,64.00658563730508,67.48660157527603,63.82457638904733,64.5938720703125,286744800,0.0,0.0
2020-03-10,67.25606913589775,69.5129811258908,65.37044835521063,69.24603271484375,285290000,0.0,0.0
2020-03-11,67.31674360006403,68.24620108036899,65.97472137640763,66.8410873413086,255598800,0.0,0.0
2020-03-12,62.11126834135515,65.52333473547242,60.18439634961911,60.240211486816406,418474000,0.0,0.0
2020-03-13,64.28325061879912,67.93071607578169,61.38565875889742,67.45748901367188,370732000,0.0,0.0
2020-03-16,58.71619032815072,62.87327957704444,58.24296696218062,58.77928924560547,322423600,0.0,0.0
2020-03-17,60.06548110830406,62.516536915107906,57.854675154192996,61.36381530761719,324056000,0.0,0.0
2020-03-18,58.187153255274865,60.66975874633833,57.54405159077075,59.861637115478516,300233600,0.0,0.0
2020-03-19,60.036365596883776,61.35896558109421,58.87636011980493,59.40297317504883,271857200,0.0,0.0
2020-03-20,59.98539913252844,61.11385881136198,55.330817248448476,55.63174057006836,401693200,0.0,0.0
2020-03-23,55.350238679238295,55.45216343682044,51.59599344484774,54.44989776611328,336752800,0.0,0.0
2020-03-24,57.35961698057595,60.109170897229895,56.859698759909456,59.912601470947266,287531200,0.0,0.0
2020-03-25,60.85176020184459,62.67185273031452,59.286481367958,59.582550048828125,303602000,0.0,0.0
2020-03-26,59.82523444541299,62.77620858330938,59.78640491258839,62.71796798706055,252087200,0.0,0.0
2020-03-27,61.33712415208677,62.09428153233142,59.95385443702902,60.12130355834961,204216800,0.0,0.0
